video_id;category_id
aSWbndbyYeo;25
H_cwo3NxUUA;26
iJPjFddLOxo;27
zTIoErJmsp4;10
wA6_Z2X-ut8;23
hwQSOGrBYcI;25
QssLKnUk6pg;24
SuIAnnSsuXA;1
wGjplV12k10;17
CiaoTcPpbDE;17
muAPJiMho2Y;2
WOndRFZkeh4;15
tLOl3s0uIM4;10
chjObfl72xQ;23
ReV1rHycYzw;10
XHkAjUVoQME;22
b7K_lbglfI4;10
rDl3gAJpm_4;10
NfLVVJOuY5M;17
-SJywvgaJEI;22
TZSVf-yD7N8;24
ovEH_0lHLsk;24
A70B_LKyOrU;10
494VkPnSvJk;26
N1HAMUAXzbs;10
DbIbchSteCI;27
2NlNEj2mCIg;10
yHHnywiSwIE;22
rog8VV2A2bY;23
JMhSl6CxF-Y;25
P-2r8XEuCII;23
f3mOQCjL10g;24
xL_qpDkF5A8;24
DQQN_79QrDY;24
Z2Y8jGrkrDc;23
mkz1zoo15zI;17
Ssvv40iz-Ls;26
MwdYpMS8s28;27
Nl6YEW1s7x8;10
2KuqjW0WtZg;24
BL4dnvBytLA;25
mjBIsBPG1N8;22
sXv9pTXD2T8;26
PGRcxXLfWrM;24
yqFIrrcmsJI;24
I5qFoctplSU;17
8-fwdc3OSaU;27
Dtp6sO2tU0k;17
ufOnBRXy3Pc;17
O3ttybJghsc;17
htvR_dBs3eg;10
RHzylDQ4wKE;10
_9YMpuLDnwo;26
deJCEUFeehI;26
aHKzU_rXdw8;10
r63VBOagGAo;17
MtJFuT0KFq4;22
UddlsDsoIWs;24
akohTFyGu88;20
soBb4X5Hb6k;22
F0rXPrnC_Ps;24
9O4WaQ1zqUE;24
0Rt329xQUjM;26
rWHrWuDnReM;24
aMGQgC5yV-o;10
wV8HedOp17k;10
pi0ePRY7TSc;24
4v0nOAzcG2A;28
-B7J36GNaDk;26
6SjslBAJkJI;10
iC7wWFQUUqU;10
iveV0Q77gvU;24
VVoePRCvENk;23
uN9zBcweN4M;17
MLVcmQ62luE;22
pOEzjT-SED0;10
ESKmRiLjNpg;25
s3tz_mNg6NQ;10
xPixhGo4cU4;17
SETyZLN0UmI;2
wbxblKFtGCg;10
8hKbIhrb1WU;24
cr6H8ACWp4E;24
EhSXsTSNDyo;10
TKGA7MhxPWc;28
3Mg0SCxwvMo;19
aEM1Zelai1k;15
YvcIeSfaB3c;24
zYX1bgxEAhw;24
I-FHMnfORbo;26
ahSKGi_21xg;23
gzVTDKK-EKM;22
eNbKd0cABD0;17
DGhPGH2YROA;10
bDkmVRppq8I;24
zWrMvW7S3tg;23
I92OeEHWmTc;10
Oqca3fl0GEQ;20
4W_YgNW7gs0;10
5sEaYB4rLFQ;24
OcFcdFZQSBo;17
Bju5Enu--80;10
cN26ESa3IQk;24
o7f1HVFpRPI;23
rgqU0MbRLDo;22
ky8MhqSovW4;24
qmxMAdV6s4U;24
tBnIH8xPyZA;26
og3aFSeEm94;22
RGSgCyQydgc;24
r-i6XpcL1Fs;17
s8UglxtkAIs;24
3WlhLmh7uiQ;15
jgvQzWAhoiw;26
7snvaAmSHo8;10
9Vb8tOUh2C4;26
npCluN5VHF0;22
3rApMBPh15M;23
cY-fuk44Lu8;25
KjICBHj1EzM;23
PTQMog9u2Zo;24
6Km34EXxGZ4;24
GBhrvR838Ag;25
pYClHihdjsE;22
NWeCToDgdxU;24
-m3L9lA5_tA;25
C_SJgw5MVFY;10
t5_dSCu_mLY;22
oY9GVZKwBhI;24
30TkClWvT5k;10
DdLYSziSXII;10
Ho8Q_ebYgZc;24
fuHcdFPBKy0;24
UdRZLPG_xUM;22
e2R0NSKtVA0;22
Y-R3QdTGeLg;17
jyTqvjvj8sM;24
OXf9D91wrIQ;17
X2BfTXIwABo;2
dabnx8VSdkE;27
pHE8nIB6j2U;10
q20_MVdB31g;24
1hTLGlgZ4Z8;24
UXNnAB3ugPU;26
WKcYTvyoidw;25
r8FQ5wUYm9c;23
LIEOeqNRikk;20
L7pElZJaB2w;1
1DRhHMy-D4E;25
SPJsPQBnA2s;19
0zMSMJZc9EA;22
MfLcjWq6m9o;15
UVaeRX9LybU;22
5O4h2x9NuTk;24
f1fXCRtSUWU;1
6S3phVSi0tI;1
7VC4zX1vDE4;24
ZBM7DYktEyo;1
DGdSlnw4D_M;23
jjbcWoPXyas;24
ARuS950sgXM;25
Thvm6dADOms;10
Y4357OXULfc;24
1lCnG9hWC6w;24
vRf3azp1pak;10
nqP1x8VxrTU;26
s1cpCfX-mgo;10
KxdXruUUSIM;26
8IEvxQKzLyI;17
IoqDYnn7VKA;23
ssVrzoCgr_w;23
tz23WFb8HM0;10
vkbS_oEN-Tg;24
e9NOwaiXqqA;23
K3ZwxsTOD_8;24
2Yz_kqxegrs;10
sLJdBmAeB_U;26
CziCidR4KcY;10
gG_XI2jXMKs;24
vus2jCm8H0U;26
o8m2kXgCIMc;10
NpciU6AtlJU;10
CG9yQ8PXf6o;10
faYA_upR_a0;1
rFAddL8g8mw;26
9H2SSvQ8ihA;1
jtVz0qxQM_U;24
